iso_issued,issued,iso_expired,expired,eventid,phenomena,significance,hvtec_nwsli,wfo,name,ph_name,sig_name
2006-07-12T19:29:00Z,2006-07-12 19:29,2006-07-12T20:03:00Z,2006-07-12 20:03,100,SV,W,,LWX,Severe Thunderstorm Warning,Severe Thunderstorm,Warning
2006-07-12T20:17:00Z,2006-07-12 20:17,2006-07-12T21:04:00Z,2006-07-12 21:04,101,SV,W,,LWX,Severe Thunderstorm Warning,Severe Thunderstorm,Warning
2006-07-18T20:27:00Z,2006-07-18 20:27,2006-07-19T00:23:00Z,2006-07-19 00:23,613,SV,A,,LWX,Severe Thunderstorm Watch,Severe Thunderstorm,Watch
2006-07-22T18:20:00Z,2006-07-22 18:20,2006-07-23T01:04:00Z,2006-07-23 01:04,637,SV,A,,LWX,Severe Thunderstorm Watch,Severe Thunderstorm,Watch
2006-07-28T17:03:00Z,2006-07-28 17:03,2006-07-28T19:05:00Z,2006-07-28 19:05,649,SV,A,,LWX,Severe Thunderstorm Watch,Severe Thunderstorm,Watch
2006-09-28T19:04:00Z,2006-09-28 19:04,2006-09-28T23:24:00Z,2006-09-28 23:24,803,SV,A,,LWX,Severe Thunderstorm Watch,Severe Thunderstorm,Watch
2006-11-16T15:44:00Z,2006-11-16 15:44,2006-11-16T20:46:00Z,2006-11-16 20:46,868,TO,A,,LWX,Tornado Watch,Tornado,Watch
2006-11-16T18:04:00Z,2006-11-16 18:04,2006-11-16T18:45:00Z,2006-11-16 18:45,173,SV,W,,LWX,Severe Thunderstorm Warning,Severe Thunderstorm,Warning
2006-11-16T19:45:00Z,2006-11-16 19:45,2006-11-16T22:45:00Z,2006-11-16 22:45,114,FF,W,,LWX,Flash Flood Warning,Flash Flood,Warning
2006-12-01T15:09:00Z,2006-12-01 15:09,2006-12-01T21:57:00Z,2006-12-01 21:57,874,SV,A,,LWX,Severe Thunderstorm Watch,Severe Thunderstorm,Watch
2007-05-16T17:26:00Z,2007-05-16 17:26,2007-05-16T20:59:00Z,2007-05-16 20:59,278,SV,A,,LWX,Severe Thunderstorm Watch,Severe Thunderstorm,Watch
2007-05-27T20:43:00Z,2007-05-27 20:43,2007-05-27T23:44:00Z,2007-05-27 23:44,301,SV,A,,LWX,Severe Thunderstorm Watch,Severe Thunderstorm,Watch
2007-05-27T22:19:00Z,2007-05-27 22:19,2007-05-27T22:50:00Z,2007-05-27 22:50,35,SV,W,,LWX,Severe Thunderstorm Warning,Severe Thunderstorm,Warning
2007-06-08T21:32:00Z,2007-06-08 21:32,2007-06-09T02:38:00Z,2007-06-09 02:38,372,SV,A,,LWX,Severe Thunderstorm Watch,Severe Thunderstorm,Watch
2007-06-12T17:01:00Z,2007-06-12 17:01,2007-06-13T00:00:00Z,2007-06-13 00:00,386,SV,A,,LWX,Severe Thunderstorm Watch,Severe Thunderstorm,Watch
2007-06-13T17:27:00Z,2007-06-13 17:27,2007-06-14T01:00:00Z,2007-06-14 01:00,392,SV,A,,LWX,Severe Thunderstorm Watch,Severe Thunderstorm,Watch
2007-06-19T19:05:00Z,2007-06-19 19:05,2007-06-20T03:00:00Z,2007-06-20 03:00,420,SV,A,,LWX,Severe Thunderstorm Watch,Severe Thunderstorm,Watch
2007-06-21T21:10:00Z,2007-06-21 21:10,2007-06-22T00:08:00Z,2007-06-22 00:08,437,SV,A,,LWX,Severe Thunderstorm Watch,Severe Thunderstorm,Watch
2007-06-28T18:10:00Z,2007-06-28 18:10,2007-06-29T01:10:00Z,2007-06-29 01:10,461,SV,A,,LWX,Severe Thunderstorm Watch,Severe Thunderstorm,Watch
2007-07-04T18:14:00Z,2007-07-04 18:14,2007-07-05T00:33:00Z,2007-07-05 00:33,483,TO,A,,LWX,Tornado Watch,Tornado,Watch
2007-07-04T22:01:00Z,2007-07-04 22:01,2007-07-04T22:30:00Z,2007-07-04 22:30,167,SV,W,,LWX,Severe Thunderstorm Warning,Severe Thunderstorm,Warning
2007-07-16T18:00:00Z,2007-07-16 18:00,2007-07-17T00:51:00Z,2007-07-17 00:51,523,SV,A,,LWX,Severe Thunderstorm Watch,Severe Thunderstorm,Watch
2007-07-19T18:09:00Z,2007-07-19 18:09,2007-07-19T22:50:00Z,2007-07-19 22:50,543,SV,A,,LWX,Severe Thunderstorm Watch,Severe Thunderstorm,Watch
2007-07-27T17:30:00Z,2007-07-27 17:30,2007-07-27T22:09:00Z,2007-07-27 22:09,556,SV,A,,LWX,Severe Thunderstorm Watch,Severe Thunderstorm,Watch
2007-08-09T13:52:00Z,2007-08-09 13:52,2007-08-09T19:14:00Z,2007-08-09 19:14,573,SV,A,,LWX,Severe Thunderstorm Watch,Severe Thunderstorm,Watch
2007-08-16T20:46:00Z,2007-08-16 20:46,2007-08-16T20:51:00Z,2007-08-16 20:51,606,SV,A,,LWX,Severe Thunderstorm Watch,Severe Thunderstorm,Watch
2007-08-17T03:09:00Z,2007-08-17 03:09,2007-08-17T05:27:00Z,2007-08-17 05:27,611,SV,A,,LWX,Severe Thunderstorm Watch,Severe Thunderstorm,Watch
